#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,273,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,345,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,445,80,82,83,100,100,80,1,False
3,VenusaurMega Venusaur,Grass,Poison,545,80,100,123,122,120,80,1,False
4,Charmander,Fire,,244,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,325,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,434,78,84,78,109,85,100,1,False
6,CharizardMega Charizard X,Fire,Dragon,534,78,130,111,130,85,100,1,False
6,CharizardMega Charizard Y,Fire,Flying,534,78,104,78,159,115,100,1,False
7,Squirtle,Water,,271,44,48,65,50,64,43,1,False
8,Wartortle,Water,,347,59,63,80,65,80,58,1,False
9,Blastoise,Water,,452,79,83,100,85,105,78,1,False
9,BlastoiseMega Blastoise,Water,,552,79,103,120,135,115,78,1,False
10,Caterpie,Bug,,150,45,30,35,20,20,45,1,False
11,Metapod,Bug,,175,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,325,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,145,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,170,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,320,65,90,40,45,80,75,1,False
15,BeedrillMega Beedrill,Bug,Poison,350,65,150,40,15,80,145,1,False
16,Pidgey,Normal,Flying,195,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,278,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,378,83,80,75,70,70,101,1,False
18,PidgeotMega Pidgeot,Normal,Flying,458,83,80,80,135,80,121,1,False
19,Rattata,Normal,,181,30,56,35,25,35,72,1,False
20,Raticate,Normal,,316,55,81,60,50,70,97,1,False
21,Spearow,Normal,Flying,192,40,60,30,31,31,70,1,False
22,Fearow,Normal,Flying,342,65,90,65,61,61,100,1,False
23,Ekans,Poison,,233,35,60,44,40,54,55,1,False
24,Arbok,Poison,,358,60,85,69,65,79,80,1,False
25,Pikachu,Electric,,230,35,55,40,50,50,90,1,False
26,Raichu,Electric,,375,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,,260,50,75,85,20,30,40,1,False
28,Sandslash,Ground,,385,75,100,110,45,55,65,1,False
29,Nidoran (Female),Poison,,234,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,309,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Ground,429,90,92,87,75,85,76,1,False
32,Nidoran (Male),Poison,,223,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,300,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,420,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,288,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,423,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,234,38,41,40,50,65,65,1,False
